,Run Number,Week Number,Waiting List
214,Run Number 4,7,13
215,Run Number 4,8,9
216,Run Number 4,9,11
217,Run Number 4,10,9
218,Run Number 4,11,11
219,Run Number 4,12,14
220,Run Number 4,13,11
221,Run Number 4,14,9
222,Run Number 4,15,10
223,Run Number 4,16,11
224,Run Number 4,17,16
225,Run Number 4,18,9
226,Run Number 4,19,16
227,Run Number 4,20,8
228,Run Number 4,21,16
229,Run Number 4,22,30
230,Run Number 4,23,39
231,Run Number 4,24,52
232,Run Number 4,25,57
233,Run Number 4,26,70
234,Run Number 4,27,75
235,Run Number 4,28,84
236,Run Number 4,29,92
237,Run Number 4,30,99
238,Run Number 4,31,110
239,Run Number 4,32,123
240,Run Number 4,33,130
241,Run Number 4,34,139
242,Run Number 4,35,148
243,Run Number 4,36,158
244,Run Number 4,37,168
245,Run Number 4,38,176
246,Run Number 4,39,186
247,Run Number 4,40,192
248,Run Number 4,41,195
249,Run Number 4,42,201
250,Run Number 4,43,210
251,Run Number 4,44,222
252,Run Number 4,45,235
253,Run Number 4,46,246
254,Run Number 4,47,254
255,Run Number 4,48,264
256,Run Number 4,49,275
257,Run Number 4,50,280
258,Run Number 4,51,285
259,Run Number 4,52,293
260,Run Number 5,1,9
261,Run Number 5,2,6
262,Run Number 5,3,11
263,Run Number 5,4,7
264,Run Number 5,5,10
265,Run Number 5,6,12
266,Run Number 5,7,10
267,Run Number 5,8,5
268,Run Number 5,9,10
269,Run Number 5,10,19
270,Run Number 5,11,9
271,Run Number 5,12,10
272,Run Number 5,13,6
273,Run Number 5,14,7
274,Run Number 5,15,9
275,Run Number 5,16,8
276,Run Number 5,17,8
277,Run Number 5,18,8
278,Run Number 5,19,13
279,Run Number 5,20,6
280,Run Number 5,21,11
281,Run Number 5,22,5
282,Run Number 5,23,4
283,Run Number 5,24,8
284,Run Number 5,25,15
285,Run Number 5,26,22
286,Run Number 5,27,28
287,Run Number 5,28,39
288,Run Number 5,29,48
289,Run Number 5,30,60
290,Run Number 5,31,69
291,Run Number 5,32,78
292,Run Number 5,33,82
293,Run Number 5,34,92
294,Run Number 5,35,107
295,Run Number 5,36,114
296,Run Number 5,37,119
297,Run Number 5,38,128
298,Run Number 5,39,136
299,Run Number 5,40,144
300,Run Number 5,41,149
301,Run Number 5,42,154
302,Run Number 5,43,156
303,Run Number 5,44,166
304,Run Number 5,45,176
305,Run Number 5,46,183
306,Run Number 5,47,192
307,Run Number 5,48,204
308,Run Number 5,49,204
309,Run Number 5,50,207
310,Run Number 5,51,213
311,Run Number 5,52,219
312,Run Number 6,1,8
313,Run Number 6,2,13
314,Run Number 6,3,10
315,Run Number 6,4,11
316,Run Number 6,5,11
317,Run Number 6,6,8
318,Run Number 6,7,8
319,Run Number 6,8,11
320,Run Number 6,9,3
321,Run Number 6,10,13
322,Run Number 6,11,12
323,Run Number 6,12,4
324,Run Number 6,13,10
325,Run Number 6,14,8
326,Run Number 6,15,17
327,Run Number 6,16,11
328,Run Number 6,17,11
329,Run Number 6,18,7
330,Run Number 6,19,10
331,Run Number 6,20,11
332,Run Number 6,21,15
333,Run Number 6,22,16
334,Run Number 6,23,27
335,Run Number 6,24,41
336,Run Number 6,25,43
337,Run Number 6,26,52
338,Run Number 6,27,57
339,Run Number 6,28,62
340,Run Number 6,29,71
341,Run Number 6,30,75
342,Run Number 6,31,83
343,Run Number 6,32,93
344,Run Number 6,33,101
345,Run Number 6,34,107
346,Run Number 6,35,116
347,Run Number 6,36,120
348,Run Number 6,37,130
349,Run Number 6,38,140
350,Run Number 6,39,143
351,Run Number 6,40,151
352,Run Number 6,41,155
353,Run Number 6,42,164
354,Run Number 6,43,175
355,Run Number 6,44,177
356,Run Number 6,45,183
357,Run Number 6,46,188
358,Run Number 6,47,190
359,Run Number 6,48,197
360,Run Number 6,49,199
361,Run Number 6,50,200
362,Run Number 6,51,210
363,Run Number 6,52,217
364,Run Number 7,1,11
365,Run Number 7,2,12
366,Run Number 7,3,14
367,Run Number 7,4,18
368,Run Number 7,5,15
369,Run Number 7,6,6
370,Run Number 7,7,8
371,Run Number 7,8,10
372,Run Number 7,9,13
373,Run Number 7,10,10
374,Run Number 7,11,8
375,Run Number 7,12,7
376,Run Number 7,13,6
377,Run Number 7,14,11
378,Run Number 7,15,7
379,Run Number 7,16,11
380,Run Number 7,17,13
381,Run Number 7,18,9
382,Run Number 7,19,9
383,Run Number 7,20,8
384,Run Number 7,21,10
385,Run Number 7,22,23
386,Run Number 7,23,34
387,Run Number 7,24,43
388,Run Number 7,25,48
389,Run Number 7,26,62
390,Run Number 7,27,71
391,Run Number 7,28,81
392,Run Number 7,29,91
393,Run Number 7,30,102
394,Run Number 7,31,116
395,Run Number 7,32,121
396,Run Number 7,33,122
397,Run Number 7,34,123
398,Run Number 7,35,133
399,Run Number 7,36,146
400,Run Number 7,37,153
401,Run Number 7,38,159
402,Run Number 7,39,164
403,Run Number 7,40,173
404,Run Number 7,41,182
405,Run Number 7,42,188
406,Run Number 7,43,199
407,Run Number 7,44,208
408,Run Number 7,45,220
409,Run Number 7,46,224
410,Run Number 7,47,233
411,Run Number 7,48,238
412,Run Number 7,49,243
413,Run Number 7,50,249
414,Run Number 7,51,254
415,Run Number 7,52,269
416,Run Number 8,1,10
417,Run Number 8,2,9
418,Run Number 8,3,5
419,Run Number 8,4,9
420,Run Number 8,5,13
421,Run Number 8,6,8
422,Run Number 8,7,14
423,Run Number 8,8,9
424,Run Number 8,9,12
425,Run Number 8,10,13
426,Run Number 8,11,6
427,Run Number 8,12,9
428,Run Number 8,13,5
429,Run Number 8,14,12
430,Run Number 8,15,12
431,Run Number 8,16,11
432,Run Number 8,17,12
433,Run Number 8,18,9
434,Run Number 8,19,16
435,Run Number 8,20,13
436,Run Number 8,21,15
437,Run Number 8,22,22
438,Run Number 8,23,38
439,Run Number 8,24,53
440,Run Number 8,25,61
441,Run Number 8,26,71
442,Run Number 8,27,82
443,Run Number 8,28,88
444,Run Number 8,29,98
445,Run Number 8,30,102
446,Run Number 8,31,114
447,Run Number 8,32,126
448,Run Number 8,33,138
449,Run Number 8,34,146
450,Run Number 8,35,154
451,Run Number 8,36,164
452,Run Number 8,37,174
453,Run Number 8,38,184
454,Run Number 8,39,191
455,Run Number 8,40,192
456,Run Number 8,41,202
457,Run Number 8,42,210
458,Run Number 8,43,221
459,Run Number 8,44,226
460,Run Number 8,45,234
461,Run Number 8,46,242
462,Run Number 8,47,244
463,Run Number 8,48,250
464,Run Number 8,49,257
465,Run Number 8,50,267
466,Run Number 8,51,276
467,Run Number 8,52,282
468,Run Number 9,1,9
469,Run Number 9,2,7
470,Run Number 9,3,12
471,Run Number 9,4,13
472,Run Number 9,5,7
473,Run Number 9,6,12
474,Run Number 9,7,13
475,Run Number 9,8,8
476,Run Number 9,9,17
477,Run Number 9,10,14
478,Run Number 9,11,9
479,Run Number 9,12,13
480,Run Number 9,13,7
481,Run Number 9,14,15
482,Run Number 9,15,9
483,Run Number 9,16,9
484,Run Number 9,17,8
485,Run Number 9,18,4
486,Run Number 9,19,10
487,Run Number 9,20,7
488,Run Number 9,21,10
489,Run Number 9,22,21
490,Run Number 9,23,30
491,Run Number 9,24,38
492,Run Number 9,25,42
493,Run Number 9,26,52
494,Run Number 9,27,65
495,Run Number 9,28,75
496,Run Number 9,29,82
497,Run Number 9,30,96
498,Run Number 9,31,107
499,Run Number 9,32,112
500,Run Number 9,33,120
501,Run Number 9,34,125
502,Run Number 9,35,131
503,Run Number 9,36,141
504,Run Number 9,37,150
505,Run Number 9,38,161
506,Run Number 9,39,169
507,Run Number 9,40,171
508,Run Number 9,41,185
509,Run Number 9,42,189
510,Run Number 9,43,196
511,Run Number 9,44,209
512,Run Number 9,45,214
513,Run Number 9,46,218
514,Run Number 9,47,224
515,Run Number 9,48,224
516,Run Number 9,49,230
517,Run Number 9,50,236
518,Run Number 9,51,237
519,Run Number 9,52,247
