Run Number,Mean Q Time Registration,Mean Q Time Phone,Mean Q Time Doctor,Mean Q Time Booking,Mean Time Total
0,54.886116568191156,2.3058150576996845,83.78873443148038,60.23251613326394,102.0144691374119
1,45.70104589483569,2.552191657709284,13.54024887330775,31.723878371343588,44.29787786202638
2,28.37110188806073,1.9539997575186567,92.53997637582637,31.547807202670622,74.02696272100954
3,34.29993409938761,1.3497214794028143,13.230753821725886,30.482426957951446,43.94205859682348
4,39.58151008965122,2.334505685176822,21.484013139975,44.77917741895761,58.970812352324494
5,12.54596537659284,2.5133385674848583,48.54591813250433,9.202563700209794,53.301880362710705
6,58.10283377879075,5.3247836473059555,33.57260903683113,56.61860492931957,66.33401915115016
7,61.027661679226995,5.029980030077977,26.96401021993067,45.498913189099824,67.34606726213129
8,26.170307247214474,6.116151270392711,31.645432001557726,27.309541102281635,49.79807512864942
9,72.16146925553926,1.9649414244769325,66.21983743854427,79.3573353060824,96.85224865117316
10,64.41796117023422,4.418889929218694,21.73901986037703,64.75329241713655,78.40546639826984
11,24.46416056604561,1.317213580782372,40.04483874004742,23.120426556270846,59.54882870577985
12,57.854350668669994,0.748441542745267,31.897738237001164,58.091558786724804,74.75022013397114
13,26.455662523793407,3.1423411603875486,25.240383459346255,26.96517316284448,43.67682711368383
14,27.595277082544584,4.17841105331837,31.305769591729085,26.583650495513737,48.663416115252815
15,21.071090533734985,5.5004681495796195,42.26437781041303,18.010779471952638,56.00722072171399
16,29.88404126898179,2.183159605952405,52.66217657010296,28.886257073866332,59.62894356871978
17,34.677185089247665,1.7635805332187156,19.04603632508969,43.448607810672314,47.539364887864714
18,9.462433963740652,1.3314385752984599,22.884144306984844,8.337128712502198,30.375737159325272
19,36.93944123934941,3.905406450494066,27.2765553285969,44.08717241667068,58.817752432173
20,45.344994055550984,2.158467487959729,50.78213713212124,41.61964876298348,77.35820054019808
21,32.03292221201805,0.6224944433062687,40.761143569331146,25.355239827201828,63.70190837092632
22,52.30046490987982,0.5047547096896143,14.59123204574202,44.751481172735296,55.3376329077917
23,52.65893293970497,2.3482453071447362,75.75412600867882,60.601096532639346,96.93121011544903
24,36.62935895463751,1.6714530405936086,21.65762209306518,27.69797525508908,42.3585264879367
25,26.958754000586286,4.904102867164395,52.98957445479358,18.24798383681454,65.33447459257115
26,49.859428899511684,2.3949364452272204,7.816426796652979,59.524504456788534,56.44331268809236
27,46.005790448149604,2.326257369726979,58.20743692016549,53.17146815374283,89.71399353213819
28,55.44365682761922,1.01213965026629,51.717274042816804,52.564594341131766,76.53026412173811
29,42.94670350175604,4.408985187441207,23.54871249059527,59.49742251471758,66.10401591880881
30,54.98812709480077,2.54021345821562,35.18935258662853,57.64995298221738,72.59614676955913
31,59.31787451766022,2.0458532954483744,23.541168845797383,59.971598248454875,72.52606343465
32,24.01452221444769,1.5498290669053332,52.91191685082662,21.410713372557073,60.05015444225309
33,41.48262359505741,1.9228038328403299,45.291739678594766,39.93055557609523,67.76924091152124
34,13.59980808619227,4.023741825503979,57.95114740494917,11.601239057087703,55.94246957069401
35,54.01114323134434,0.5163404299406223,37.29218314422807,48.26308359633314,75.96006984191868
36,18.071173493510162,2.35350687911168,31.6341034764637,15.158128114537892,45.86627301615969
37,30.150011165289452,1.2232472154256455,25.68420015380237,28.967749614897144,49.11929606073064
38,99.18451435412474,4.147891720510459,47.61991234286073,88.2122578722483,98.57322461515457
39,29.011940366058266,1.2339643699536946,21.787796822861228,30.508470183093173,51.338917357952305
40,36.35960156946381,1.413292686567298,77.25456295600968,33.60063634113555,90.11010186803864
41,24.03641508980845,0.45469813196546277,59.377700880896775,20.310945140748373,67.70144543621934
42,31.924828809653523,2.300605548679704,29.78105020715985,28.909450130074575,51.833343473784964
43,41.35847325583024,3.093342725911047,56.67054447009798,39.723381446755994,84.31639545302393
44,42.945412801918295,1.3550194600192522,45.57144534478251,46.29482676253843,72.99031922983839
45,33.800323446969294,3.637666600007179,26.278407492919186,40.82342297147329,52.526752576180414
46,27.404321742188685,1.8416237664970478,30.18198078403115,31.743909506536408,46.82143131013581
47,55.83086123366878,4.403455315635953,60.96906933641456,57.5677488766623,90.9706416231874
48,14.90222628465191,4.576291053545124,77.1897663873671,12.190659315199447,71.40196612173898
49,37.53325900960815,1.0353034724863552,23.972666089875904,31.14656990201195,52.257549327330466
50,83.86220194252823,3.0942206731711037,60.27259257807187,87.83088627201958,89.85732896512478
51,29.47731434973756,2.064046690391558,28.940382303742094,22.445015633762804,46.35473323401247
52,35.17645969386652,2.681667634018613,23.83348596682648,23.13258444666348,50.39041112220469
53,64.2015666439294,1.499016185732162,17.31066884843778,79.1846836807301,75.52059961580329
54,33.52370089621572,1.1497706526747429,8.504084629488117,29.69639181306325,42.742359595856044
55,38.66127945191035,3.8596766828742406,85.8833513777304,33.53598587934373,97.1390572727277
56,54.36608029361737,1.4925792312504962,56.685509370939,53.700834056642954,85.0075221130702
57,10.10616462258498,1.6897437919891698,49.348248785892885,13.929220450445854,48.39627357306753
58,29.195729002017952,2.973596723166057,30.336074611878118,27.642013425701936,50.639639773871686
59,51.087632124665326,1.374549436156319,59.11053687724842,58.310021210812536,87.03344366739103
60,21.185775280927416,3.3035357100799887,58.81656621002686,20.760539435211786,61.58249544179438
61,32.828085536816765,2.2190178836533834,29.112325418562218,32.84226859855047,61.04814406598962
62,51.76909772177335,1.002456442069796,10.527801977088153,47.6423337337097,57.13527308104853
63,28.995940484186903,2.0922206682625224,18.60038515423132,29.986970332201423,45.68991495985767
64,30.88370224928268,0.8675762739633212,66.26443768313611,33.628881807640134,76.23046622778337
65,66.35594558417921,0.7002695382917056,34.28989219190579,76.24263546330988,77.59155660700232
66,5.8923635100219895,0.7209285874895555,21.070568701946,4.4029955036686115,29.879982248061573
67,50.8854841485324,2.098092787878541,34.148163061516044,44.15435847891004,77.27604557814806
68,45.33504307775679,0.4997582219120079,22.455773422530953,45.025038528784485,60.89390356789977
69,41.94834382746048,2.3853458233652742,22.77194677452379,54.071597278235096,57.377173694959566
70,17.004060775046373,2.7139847681866702,38.9938019999548,16.941774543923064,53.294675327661075
71,23.812878139095627,3.2807730405990707,20.26220772433118,23.099428045857504,41.572283779289364
72,44.09599948736729,2.889105268479971,48.38831409079789,53.958208958517936,70.49167997136864
73,42.65424646777834,1.3968504681711722,63.822839567400706,39.611054763129864,92.46938394304115
74,27.858819670108335,2.974917895990095,32.0359771320062,17.983207452113042,54.53076698155464
75,68.97974800201602,3.797484020407841,28.945525652089273,58.812977556781085,72.50432275167799
76,34.154237162344366,1.923361513172929,16.33514588260202,39.849649826198224,49.87481457855764
77,43.86179833119577,2.7496623842341923,36.19947752346049,54.02976291006934,68.25589701287262
78,56.4890571694141,2.409796653288749,78.86367135172117,59.583116793577695,97.59913825699095
79,39.10838747513101,1.3221263210795569,47.52528297132848,47.396197560308586,72.45489835130368
80,32.382087475040436,1.8715421524645788,61.06358773637207,46.159747376385454,65.37506498083276
81,48.149345899264574,0.48852865735061857,19.05304892680114,38.55258643302662,58.60644130200736
82,25.235747132572243,3.5006291117881596,84.90451052403371,17.55961893948885,74.97143121185398
83,25.269137538693094,4.000694587631035,63.771046378388874,28.34699873790974,61.76133740004734
84,23.836584142646466,2.3042163799035267,16.42507960643098,17.701373323558435,38.39997757147779
85,54.78618857990769,1.964546170587752,9.71318789972472,56.224544180295915,58.74926758162839
86,60.310191583817144,1.976996723224886,29.271583478122388,51.60191909425629,65.7300071646923
87,40.63297021655318,4.320723910777825,51.67840955391795,50.02089845768678,67.38480917406795
88,19.445326945625844,1.3204903135283557,31.55215059592333,17.254313203501127,35.35952641031497
89,91.23390516806747,1.4270194831162444,22.87205899136264,84.43308909882073,96.51029287250685
90,78.12514116825265,2.450511372757495,49.90652320849232,67.86047963233933,103.8831026386895
91,37.92190097629313,2.6503194127977734,11.62983085468923,39.205087186448445,50.26872462843701
92,43.332416554568844,4.8285071582925765,54.753332313997056,41.70846990294266,76.95553210942906
93,53.878843361687785,4.178270620310996,29.62361787313028,48.70201948052742,73.98419013908848
94,34.62543160912709,2.8102060357481955,12.666334625549332,29.582445310297697,44.31154413049442
95,10.2214991092909,3.9501992843167084,20.65535724562572,8.100301613112675,29.84931384352726
96,36.50679275682678,2.018366446190506,13.752765080953944,32.16620161146353,50.22012259377242
97,38.943459003746135,3.799417401687212,34.96941737138144,35.56076676468091,63.89384817303182
98,14.082659686086204,4.4519027456055005,21.823010854022144,12.657228490349834,34.08233251403686
99,29.67885530725924,3.8461468784219575,57.78307810310087,33.60819987075882,71.23468340939867
