,Run Number,Week Number,Waiting List
214,Run Number 4,7,5
215,Run Number 4,8,8
216,Run Number 4,9,6
217,Run Number 4,10,8
218,Run Number 4,11,8
219,Run Number 4,12,9
220,Run Number 4,13,7
221,Run Number 4,14,12
222,Run Number 4,15,25
223,Run Number 4,16,38
224,Run Number 4,17,40
225,Run Number 4,18,45
226,Run Number 4,19,54
227,Run Number 4,20,64
228,Run Number 4,21,73
229,Run Number 4,22,76
230,Run Number 4,23,84
231,Run Number 4,24,88
232,Run Number 4,25,95
233,Run Number 4,26,109
234,Run Number 4,27,116
235,Run Number 4,28,127
236,Run Number 4,29,130
237,Run Number 4,30,135
238,Run Number 4,31,140
239,Run Number 4,32,149
240,Run Number 4,33,159
241,Run Number 4,34,165
242,Run Number 4,35,168
243,Run Number 4,36,181
244,Run Number 4,37,185
245,Run Number 4,38,195
246,Run Number 4,39,204
247,Run Number 4,40,212
248,Run Number 4,41,218
249,Run Number 4,42,224
250,Run Number 4,43,229
251,Run Number 4,44,236
252,Run Number 4,45,243
253,Run Number 4,46,251
254,Run Number 4,47,256
255,Run Number 4,48,265
256,Run Number 4,49,269
257,Run Number 4,50,273
258,Run Number 4,51,277
259,Run Number 4,52,282
260,Run Number 5,1,8
261,Run Number 5,2,13
262,Run Number 5,3,9
263,Run Number 5,4,9
264,Run Number 5,5,7
265,Run Number 5,6,13
266,Run Number 5,7,6
267,Run Number 5,8,5
268,Run Number 5,9,10
269,Run Number 5,10,6
270,Run Number 5,11,10
271,Run Number 5,12,6
272,Run Number 5,13,5
273,Run Number 5,14,14
274,Run Number 5,15,22
275,Run Number 5,16,33
276,Run Number 5,17,41
277,Run Number 5,18,47
278,Run Number 5,19,54
279,Run Number 5,20,55
280,Run Number 5,21,60
281,Run Number 5,22,72
282,Run Number 5,23,83
283,Run Number 5,24,93
284,Run Number 5,25,96
285,Run Number 5,26,100
286,Run Number 5,27,109
287,Run Number 5,28,116
288,Run Number 5,29,127
289,Run Number 5,30,134
290,Run Number 5,31,141
291,Run Number 5,32,151
292,Run Number 5,33,156
293,Run Number 5,34,161
294,Run Number 5,35,171
295,Run Number 5,36,179
296,Run Number 5,37,186
297,Run Number 5,38,192
298,Run Number 5,39,198
299,Run Number 5,40,206
300,Run Number 5,41,214
301,Run Number 5,42,225
302,Run Number 5,43,230
303,Run Number 5,44,234
304,Run Number 5,45,244
305,Run Number 5,46,246
306,Run Number 5,47,243
307,Run Number 5,48,243
308,Run Number 5,49,248
309,Run Number 5,50,256
310,Run Number 5,51,264
311,Run Number 5,52,270
312,Run Number 6,1,7
313,Run Number 6,2,8
314,Run Number 6,3,7
315,Run Number 6,4,6
316,Run Number 6,5,4
317,Run Number 6,6,8
318,Run Number 6,7,10
319,Run Number 6,8,11
320,Run Number 6,9,8
321,Run Number 6,10,4
322,Run Number 6,11,11
323,Run Number 6,12,11
324,Run Number 6,13,6
325,Run Number 6,14,11
326,Run Number 6,15,20
327,Run Number 6,16,26
328,Run Number 6,17,34
329,Run Number 6,18,41
330,Run Number 6,19,50
331,Run Number 6,20,59
332,Run Number 6,21,61
333,Run Number 6,22,70
334,Run Number 6,23,74
335,Run Number 6,24,83
336,Run Number 6,25,87
337,Run Number 6,26,95
338,Run Number 6,27,104
339,Run Number 6,28,105
340,Run Number 6,29,112
341,Run Number 6,30,120
342,Run Number 6,31,124
343,Run Number 6,32,126
344,Run Number 6,33,139
345,Run Number 6,34,146
346,Run Number 6,35,152
347,Run Number 6,36,158
348,Run Number 6,37,168
349,Run Number 6,38,174
350,Run Number 6,39,185
351,Run Number 6,40,189
352,Run Number 6,41,191
353,Run Number 6,42,196
354,Run Number 6,43,206
355,Run Number 6,44,212
356,Run Number 6,45,221
357,Run Number 6,46,224
358,Run Number 6,47,227
359,Run Number 6,48,234
360,Run Number 6,49,243
361,Run Number 6,50,244
362,Run Number 6,51,246
363,Run Number 6,52,251
364,Run Number 7,1,6
365,Run Number 7,2,6
366,Run Number 7,3,6
367,Run Number 7,4,10
368,Run Number 7,5,4
369,Run Number 7,6,7
370,Run Number 7,7,9
371,Run Number 7,8,18
372,Run Number 7,9,12
373,Run Number 7,10,7
374,Run Number 7,11,9
375,Run Number 7,12,3
376,Run Number 7,13,8
377,Run Number 7,14,12
378,Run Number 7,15,19
379,Run Number 7,16,33
380,Run Number 7,17,39
381,Run Number 7,18,50
382,Run Number 7,19,59
383,Run Number 7,20,68
384,Run Number 7,21,79
